adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/lCEknnNbaVA28AAfKBdIFgydvEW.jpg,"[18, 10752, 10751, 36, 10770, 37]",14973,en,The Colt,"During the heat of battle in the midst of the Civil War, a beguilingly innocent colt is born to Union Jim Rabb's beloved mare. Refusing the orders to shoot it, lest it prove a hindrance, Rabb keeps the colt as a consolation in these desperate times-a symbol of hope that leads the men of the First Cavalry on a journey of self-discovery and newfound brotherhood.",3.965,/20KiYhkbXGsP5lb1EMGXt8ST178.jpg,2005-02-06,The Colt,False,5.3,7
False,,"[10749, 10770]",377436,en,The Right Girl,A young woman learns valuable lessons while developing a relationship with her new boss and his young son.,3.004,/pqDNLlo7Iez1MXNEQypC4knNGN6.jpg,2015-11-21,The Right Girl,False,6.1,26
False,/v0vC216mxzFXOdE8fZflVCDqXS6.jpg,"[27, 10770]",4337,en,The Birds II: Land's End,"Ted and his family have just moved to the sleepy coastal town of Gull Island so that he can complete work on his thesis. Everything couldn’t seem more picturesque about their new, seaside home… that is, except for the increasing number of aggressively behaving birds.",6.873,/3hJ1WWMmR5IyhpSmZjcFz5PwdED.jpg,1994-03-19,The Birds II: Land's End,False,3.8,46
False,/gE2mT5Abyb0em6xqsgqJlJ3dvXd.jpg,"[10749, 10751, 35, 10770]",284166,en,For Better or For Worse,"Wendy is finally settling in to single life after the death of her husband. She runs a successful wedding planning company with the help of her friend Roseanne. Wendy's business and values are challenged when Marco, a charming but irritating divorce attorney, opens shop right next door!",6.197,/dw4af3Ybdk6e6OdR2EYrmL7bx0q.jpg,2014-07-19,For Better or For Worse,False,5.7,40
False,/znHjGYiwFNkMZf3oe4vl5b5F0Nt.jpg,"[10751, 14, 35, 10770]",367541,en,Becoming Santa,A man is shocked to learn that the parents of his girlfriend are Santa Claus and Mrs. Claus.,3.327,/fXLXkFZqpZzGlQuinO8ArblVDtG.jpg,2015-12-12,Becoming Santa,False,5.304,28
False,/uP6xHZ1hnCQUmsk38e7w1HXygcH.jpg,"[10749, 10770]",317110,en,Love by the Book,"Bookstore owner Emma believes in fairy tales. Although she has yet to be swept away by prince charming, she sees real knight in shining armor potential with a new suitor, Landon. As Emma balances time with Landon and saving her bookstore with once irritating business consultant, Eric, however, she weighs storybook romance against genuine commitment. While she sorts out her feelings toward Landon and Eric, as well as toward love and romance, Emma begins to realize that fairytale endings aren't always by the book.",3.815,/iDnzTu6BgqDXgWfmAsRrl14hZFC.jpg,2015-01-24,Love by the Book,False,6.3,36
False,/xvoOKon4AuwC0eW9x101DrfG8Q4.jpg,"[18, 10751, 10770]",367536,en,A Gift Wrapped Christmas,"Personal shopper Gwen's newest client, Charlie, is a high-rolling, workaholic, single father. When Gwen meets his 8-year-old son, Owen, during a package drop, she is saddened to see just how little time Charlie spends with him. Determined to get Charlie to appreciate his family, Gwen makes it her Christmas mission to get him into the festive spirit.",5.863,/mMhcB2v3dO7zuufueCuFDDlschC.jpg,2015-11-28,A Gift Wrapped Christmas,False,6.283,46
False,/viRRECq6FvXsBKfxz337CygW7GZ.jpg,"[18, 10770]",321507,fr,L'Emprise,"""L'emprise"" is the story of a drama, adapted from the moving book-witness ""Acquitted"", by Alexandra Lange. The story of a mother of four children, which is found in March 2012 in the dock of the foundations of Douai for the murder of her husband. How does a woman manage to kill the father of her children with a knife? During the three days of the trial, panting narrative takes us into the daily life of Alexandra, a mother that the society has failed to protect, neither she nor her children from the control of a monster she has loved. Through this incident that made headlines and upset the public, an event movie that raises the question of the balance of justice. Will she be heard?",5.48,/4SwSobe9S8aFYCDq0rQWPJt2EUO.jpg,2015-01-26,L'Emprise,False,7.7,159
False,/1W7dcVP217NES85DbSD7BHxJkPd.jpg,"[10770, 10749, 18]",363476,en,Charming Christmas,"Meredith Rossman has made Rossman's Department store her entire life, not leaving any time for Christmas or romance.  But when she is roped into donning the store's antique Mrs. Claus outfit to play Mrs. Claus at Rossman's famous Santaville, her life takes some unexpected turns. Through the help of the suit and the charming store Santa, Nick, Meredith rekindles her love of Christmas, the store, their employees and possibly even begins a new love with Nick.",3.807,/nn6A2ZVEcldAr02AYNwqgAr3GBp.jpg,2015-11-08,Charming Christmas,False,5.5,53
False,/sze6x7l3zfoK3Ji80HGFOzlvCs.jpg,"[35, 14, 10749, 10770]",366017,en,You Cast A Spell On Me,"Despite agreeing to an arranged marriage to a childhood friend, a successful businessman tries to track down a beautiful woman that he met at a Halloween party.",4.507,/b2G8efmhPl8hXtQCCmWXNuXRjF6.jpg,2015-10-25,You Cast A Spell On Me,False,6.8,43
False,/d7ykabwTUKFRfXJiUpPxn7K20ff.jpg,"[18, 10749, 53, 10770]",323383,en,Wuthering High,"An updated 21st century version of the Emily Bronte novel set in modern day Malibu, California where the wealthy Earnshaw family adopts Heath, a troubled teenager. The Earnshaws teenage daughter, Cathy, falls madly in love with him, embittering her rich boyfriend, Eddie, and the rest of their exclusive, upscale community. Wrapped up in her exciting fling, Cathy is blind to the dangerous side of Heath until it's too late.",3.049,/9fOBoRlLSVjGtMua6fW44Bh7o5D.jpg,2015-05-29,Wuthering High,False,5.3,28
False,/3NervP4JDzJeuri6jPGcI8bOvKw.jpg,"[35, 18, 10751, 10770]",300187,en,One Christmas Eve,"A series of mishaps threaten a recently divorced mom's attempts to make her two kids' first Christmas ""without dad"" perfect.",3.847,/9x9vdwo74pJHsnaj6coMzBcZuc6.jpg,2014-11-30,One Christmas Eve,False,5.8,38
False,/ujgCXF6k7rHhuoIz00oePW0Vely.jpg,"[18, 10749, 10770]",84636,en,The Immortal Story,"An aged, wealthy trader plots with his servant to recreate a maritime tall tale, using a local woman and an unknown sailor as actors.",4.598,/cI0IdXJWemWTyombF1n1FwK6KYT.jpg,1968-06-01,The Immortal Story,False,7.075,80
False,/9V870gJ2lF6c2HyZNyQhfgAesxw.jpg,"[10770, 53, 18]",350203,de,Meister des Todes,"Based on explosive investigations, the thriller ""Meister des Todes"" (""Master of Death"") tells of a German arms manufacturer and their questionable weapon exports to Mexiko.",3.09,/iEqXonIFbCkfUJaRAIJtrFKhfCm.jpg,2015-06-30,Meister des Todes,False,5.1,13
False,/fAJH4oVxkOBCDj0QFdp9xCXTrPR.jpg,"[10770, 12]",59578,de,Die Jagd nach der heiligen Lanze,"When a museum professor disappears, his colleagues must solve riddles and avoid traps to find the mythical Spear of Destiny and rescue the professor.",6.476,/jtxlqam1vDHsLdtsLV5HOErOOT1.jpg,2010-04-01,Spear of Destiny,False,5.4,28
False,/uGoxc4gVEyJ2nLD0PgxffZhNdoG.jpg,"[10770, 18, 9648, 53]",17241,en,The Tenth Circle,A family's well-kept secrets are exposed when the daughter accuses her ex-boyfriend of rape.,2.774,/6JOooIaDg3eazjVQFPStXaqMdPD.jpg,2008-06-28,The Tenth Circle,False,5.1,16
False,/qoPeEiFmhlR35LBm1tPmQzKiB6x.jpg,"[10770, 10749]",352851,en,Love on the Air,"When a radio host gets dumped by her boyfriend on-air and soon has her break up exposed even further by a shock jock, she needs to regain her confidence while working with the same man who humiliated her in front of his viewers.",3.004,/uIGoakOBipOe5Glht3dxIvmaZvY.jpg,2015-09-26,Love on the Air,False,6.7,27
False,/aSQPsZOd1bQOFhXplCLmcd9SUM4.jpg,"[10751, 10770]",366242,en,Christmas in the Smokies,Christmas in the Smokies is a modern day Christmas classic set in the beautiful Smoky Mountains. It tells the story of one family's journey to save their historic berry farm against all odds during one fateful holiday season.,3.402,/6OUjPWqqRMqxPhTYeZ1loXuQDkI.jpg,2015-10-16,Christmas in the Smokies,False,5.719,32
False,/tSbBESOQcRzAhNupeqVWtS42lgZ.jpg,"[53, 10770]",354038,en,Fatal Memories,"Fatal Memories is the story of two sisters dealing with the murder of their mother. One of the sisters, April, is the primary suspect in the investigation, but she is traumatized and unable to recall what happened. The other sister, Sutton, is determined to prove April’s innocence, and knows that discovering the truth depends on recovering April’s repressed memories.",3.929,/6L5rNsc0IX3d2CiMZMKIO1H5oE1.jpg,2015-03-05,Fatal Memories,False,5.4,8
False,/2q8LsnLUZJxRdz5Gf4aXpYDcRNg.jpg,"[53, 80, 18, 10770]",341881,en,Kidnapped: The Hannah Anderson Story,"On the afternoon of August 3, 2013, 16-year-old Hannah Anderson was abducted after finishing cheerleading practice in a San Diego suburb. When the bodies of her mother and brother were found in the burned home of family friend James DiMaggio later that day, an AMBER Alert was issued, and a frantic multi-state manhunt for Hannah began. For a week she was kept prisoner by the increasingly unstable DiMaggio as they made their way across the state. One week later, the two were found in Idaho and DiMaggio was killed in a shootout with FBI agents, leaving Hannah as the sole survivor. As the dust settled, questions began to emerge about the nature of the relationship between Hannah and her kidnapper...and what really happened?",3.205,/2wRcQkSCjQWy6FFQ5XVZiZ43EpL.jpg,2015-05-23,Kidnapped: The Hannah Anderson Story,False,5.923,26
False,/d4whg8LIr2g74RY8elMlXEgfhKO.jpg,"[10749, 10770]",362886,en,'Tis the Season for Love,An out-of-work New York City actress returns home to the quaint small town she escaped 10 years before and finds a place far different than the hamlet she left. She suddenly finds performing possibilities and even romance that kind of blow her away.,4.665,/cpWLQw59uTsrz27bDyPMrxn0Y.jpg,2015-11-01,'Tis the Season for Love,False,5.75,58
False,/mazrDzYVcKATHsFw1wJOHv7YVWK.jpg,"[10770, 18, 9648, 53]",359187,en,A Teacher's Obsession,A high-school English teacher becomes dangerously obsessed with a star athlete who needs academic help.,3.489,/ncRHKq2wV4tr4G6faRz1PRvUSLS.jpg,2015-09-06,A Teacher's Obsession,False,5.474,19
False,/yelerrLUZD6a6Qpt3on6RXzMA8g.jpg,"[10770, 53]",344492,en,Fatal Flip,"When a young couple hires a carpenter to help renovate a home they’ve purchased to flip, they get more than they bargained for when the carpenter interferes in their lives and sabotages their efforts to remodel.",3.088,/zIn8k1E8LLilpJxoAms20UZiiPo.jpg,2015-06-13,Fatal Flip,False,6.0,14
False,,"[10749, 18, 10770]",273693,en,Baby Bootcamp,"Fitness instructor Julia is down on her luck, trying to make her baby boot camp a thriving business. To make ends meet, she becomes a part-time nanny for a single widowed father. Trouble is, she knows nothing about taking care of children.",3.189,/thPkyRFYlsdTAnOBS7Zow1J5YpD.jpg,2014-05-09,Baby Bootcamp,False,6.4,26
False,/j7HnXSnxPnROgxsUCVy79cv6Jvn.jpg,"[10749, 10770, 35]",315134,en,Surprised by Love,The story of a young businesswoman who tries to convince her uptight parents to accept her current boyfriend and instead finds herself falling for an old high school flame.,3.867,/9ozs4hUFvbnh24XG86JMWKrQz7P.jpg,2015-01-03,Surprised by Love,False,6.316,57
False,/w9tLJVDDyiN6bdFGm80SIyn9XC6.jpg,"[35, 10770]",332849,en,Mothers of the Bride,"Jenna is getting married, her mother is delighted until Jenna announces she wants to find her birth mother.",5.487,/zJNi1xQRdEe772hBGzTtsZibrq4.jpg,2015-05-05,Mothers of the Bride,False,4.6,11
False,/AtJuB9zeiyyigPnNaFKv6zNmDpH.jpg,"[10749, 35, 10770]",226167,en,Be My Valentine,"Dan Farrell, a single father and firefighter unexpectedly falls for local florist Kate just two weeks before his stations’ annual Valentine’s Day fundraising ball. But Kate’s recent ex returns to town to win her back with a marriage proposal. Will Dan suit up to fight for love, or let the flame with Kate burn out?",2.6,/6w7eP1sSsaq30VZlpqR9r2vOdy1.jpg,2013-02-09,Be My Valentine,False,5.7,20
False,/vKxNFCfSpV4qJ6NiZBYzicYpfTt.jpg,"[53, 10770]",354908,en,Sugarbabies,"Persuaded by her roommate, a college student makes an arrangement with an older man who pays for her companionship.",3.581,/24LkhztCQ22In1G35SM8UDVJzoX.jpg,2015-08-15,Sugarbabies,False,6.3,31
False,/1YuTN1fzebSy32z3Ch0qMSgy4zf.jpg,"[53, 10770]",362244,en,16 and Missing,A 16 year old girl goes missing after an online relationship with an older man.,2.583,/nyoY7KzmyZxI9GacB3OTb983f6Q.jpg,2015-10-02,16 and Missing,False,5.5,19
False,/4915FbAkmcPJ9sNNLIsXtbXvzla.jpg,"[53, 10770]",350931,en,The Bride He Bought Online,An unstable computer programmer seeks revenge when he learns he has been duped by three teen girls who created a fictitious mail-order bride that he bought.,5.459,/5pE7f1sGVmZMnRENvBPBrM9Psc1.jpg,2015-07-18,The Bride He Bought Online,False,5.9,27
False,/45PkiW3Hd8PtrOC9ffRyQGGjVXs.jpg,"[18, 10770]",309233,fr,"Arletty, une passion coupable",Covers the love affair between French actress Arletty and a high-ranking German officer during WWII in occupied France.,2.581,/m8jySQw8mCPbtB5yhurrU6UIpmB.jpg,2015-03-04,Arletty: A Guilty Passion,False,6.1,27
False,/AqlJxW54t5FtWf1o9VANC8VDgp6.jpg,"[10751, 10770, 10402]",362883,en,My One Christmas Wish,"Jackie Turner is a straight-A college student, who was abused, abandoned and starved as a child. Although she has resolutely turned her life around, the holidays are still very painful for her. Facing another lonely holiday break on campus, Jackie takes an ad on Craigslist for My ONE CHRISTMAS Wish - a family for Christmas - and even offers to pay $8 an hour. To her surprise, responses flood in. Among the numerous heartfelt invitations and letters of support, she also hears from other young people struggling with the same overwhelming emptiness that comes with spending the holidays without loved ones. Moved and inspired, Jackie decides to throw a big Christmas party - with the last-minute help of her adviser, friends and support group - to find families for all those troubled folks who emailed her, and finds one for herself as well.",2.564,/f47O949dsujv3o1Si2sWyDWL9WI.jpg,2015-11-29,My One Christmas Wish,False,5.4,9
False,/cjC56BT9VD7tfLXjFar4f826pqo.jpg,"[16, 10751, 35, 878, 10770]",458617,en,Phineas and Ferb: Last Day of Summer,"On the inevitable 104th day of summer vacation, the season — and the series — is quickly coming to an end, and it’s Candace’s last chance to bust her brothers; who build huge playground equipment for the finale of summer. She is quickly foiled, but when she goes to return a DVD to Vanessa and finds Dr. Doofenshmirtz’s Do-Over-Inator, she finds an opportunity to redo the day, which results in other consequences like rips in the space-time continuum, the shortening of days and the disappearance of her brothers.",2.558,/uflT8qpkv4YsLH7MPAL0wDQ4luY.jpg,2015-06-15,Phineas and Ferb: Last Day of Summer,False,8.0,35
False,/vBeSFlc83SBSUyCq9ScZNk9SoS.jpg,"[10770, 18, 10749]",352845,en,Lead with Your Heart,"Ben and Maura have been married for years, and they are in a rut…so much of a rut that they are contemplating if it would be better to live separate lives. That’s when their two teenage children step in and scheme to try to get them back together and make them realize how much they still need each other.",2.9,/bgPTJjauHlJHoRKWzK1FobOTtGV.jpg,2015-09-19,Lead with Your Heart,False,3.9,17
False,/rVD8VZjxoglyEFjT017u89k2W84.jpg,"[35, 10770, 10749]",354980,en,Love Under the Stars,"Young at heart graduate student Becca strikes up an unlikely friendship with Emily, a quiet girl who recently lost her mother. With every passing play date chaperoned by Emily's father, Becca helps Emily come out of her shell and cope with her loss, and Emily teaches Becca to take on adult responsibilities. When a romance develops between Becca and Nate, though, the two must learn to balance their new relationship with Nate's responsibility to Emily, and with Becca's responsibility to finish her education.",4.584,/hx2jS5Jv8Dx5tdb9YpdSTpHed3Q.jpg,2015-08-16,Love Under the Stars,False,6.5,40
False,/7MpFOW6vIoI3ihfn2VBg3pI0m0c.jpg,"[10749, 35, 10770]",240357,en,Dear Secret Santa,"Beverly Hills banker/workaholic Jennifer comes home to her small Northern California town just before Christmas when her dad, Ted, takes a bad fall while putting up decorations. While home, Jenny begins getting romantic Christmas cards from an unknown admirer, who turns out to be her old neighbor and the unrealized love of her life, Jack. There's just one problem - Jack died in a car accident three years ago.",2.688,/yBvvaZDjJAocnPG54d1oRn2TnqD.jpg,2013-11-30,Dear Secret Santa,False,5.963,27
False,/iEoswpT189UFsp28bE0gOOiScB7.jpg,"[80, 18, 10770]",141099,en,Jack Irish: Black Tide,"Jack Irish has no shortage of friends, but family members are few and far between. His wife was murdered by an ex-client and his father is a fading photo on the pubs football wall of fame. So when Des Connors, the last link to his dad, calls to ask for help in the matter of a missing son, Jack is more than happy to lend a hand. But sometimes prodigal sons go missing for a reason... As Jack begins to dig, he discovers that Gary Connors was a man with something to hide, and his friends are people with yet darker and even more deadly secrets.",3.95,/4v6UE8i5qNjOOjlCde7nn82InvE.jpg,2012-10-24,Jack Irish: Black Tide,False,6.7,36
False,/rKXqASX97ApBiL84gnXQS3dMTAn.jpg,"[16, 10751, 10770, 14]",400874,en,Ever After High: Spring Unsprung,"When the Storybook of Legends is found by Alistair Wonderland and Bunny Blanc, the two friends decide to bring the book back to Ever After High, but the Cheshire Cat has other plans for the book and swaps it with a book of cursed riddles instead, that turn all who read it topsy-turvy with their wild magic, one of whom is Apple, who thus threatens to destroy the fairytale world. Now, with only Maddie, Alistair, Lizzie, Bunny and Kitty left, they must solve the malicious riddle of the Cheshire Cat, and save their friends.",2.888,/rwqNimpmqrhxNnOvmltpGzKpgw7.jpg,2015-02-06,Ever After High: Spring Unsprung,False,8.2,9
False,,"[99, 10770]",1068542,en,Knights of Classic Drama at the BBC,"The BBC delves into its archives to discover British acting greats as they take their first tentative steps on the road to success. Long before they were knighted for their services to drama, we see early appearances from Michael Caine in a rare Shakespearean role, Ben Kingsley, Ian McKellen, Derek Jacobi and Michael Gambon. Featuring unique behind-the-scenes footage alongside a wealth of classic British productions like War and Peace, the Mayor of Casterbridge and the Singing Detective, it reveals many career-defining moments from the first generation of acting talent to fully embrace television drama.",3.366,/bY8uogDKvMlZuw3occ3N2CbRLZM.jpg,2015-11-01,Knights of Classic Drama at the BBC,False,0.0,0
False,/1lVFYGQTxtaG9c33NOm1YPv6Uma.jpg,"[18, 10770, 10751]",239861,en,The Horses of Mcbride,"When Nicki finds two horses stranded deep in the Rocky Mountain snow, she makes it her mission to find a way to get them to safety. With no other options, she picks up a shovel and starts to dig out the mile-long path, inspiring her father, Matt, and the rest of the community to join together and save the horses in the spirit of Christmas.",3.065,/tqOSrAUGyJAMLJigACewinOi5jh.jpg,2012-12-02,The Horses of McBride,False,6.0,15
False,/yYNSWXTqo8eF6S0T1sLEMSrRzDc.jpg,"[18, 10770]",371718,en,Dolly Parton's Coat of Many Colors,"""Dolly Parton's Coat of Many Colors"" is based on the inspiring true story of living legend Dolly Parton's remarkable upbringing. This once-in-a-lifetime movie special takes place inside the tight-knit Parton family as they struggle to overcome devastating tragedy and discover the healing power of love, faith and a raggedy patchwork coat that helped make Parton who she is today.  The film is set in the Tennessee Great Smoky Mountains in 1955. It is neither a biopic nor a musical about Dolly's whole life and performing career, but rather a family-oriented faith-based story about the incidents in her and her family's life around the time she was nine years old.",3.563,/nlwSzj95aWrwTTGQcynoS2K6YZO.jpg,2015-12-10,Dolly Parton's Coat of Many Colors,False,6.438,40
False,/qPrTosB5nj0foje2dWxLK3TgLtE.jpg,"[10751, 10770]",308686,en,"Signed, Sealed, Delivered for Christmas","With a duty to deliver every last letter before Christmas, the beloved quartet of post office detectives—Oliver, Shane, Rita and Norman—are working around the clock to redirect Santa’s mail just as Oliver runs into his former Sunday school teacher. When they receive an emotional last-minute plea not meant for Saint Nick, but instead written to God, they must delay their own travel plans to make sure one little girl doesn’t lose her Christmas joy—something Oliver and Shane are also struggling to find as they each face painful holiday memories. With a little guidance from a mysterious post office volunteer, Jordan, the Postables are more surprised than anyone to discover they've been a part of more than one miracle on this Christmas Eve.",3.761,/yoMg33yFaBs7JYt2pPAoe0E6q0Z.jpg,2014-11-23,"Signed, Sealed, Delivered for Christmas",False,6.7,30
False,/nIiOLA6OSzJV3nB2ZKiGzvbCh0c.jpg,"[28, 53, 10770]",17286,en,Kiss Me Deadly,"Settled into a cozy home life in Milan with his boyfriend Paolo and his daughter Julia, photographer and ex-spy Jacob Keane is suddenly drawn back into the espionage world when his old partner Marta reappears with her memory erased.",5.642,/reuTxF0NhRlSrpqdLR5YpnnoyND.jpg,2008-05-02,Kiss Me Deadly,False,5.1,18
False,/fBYPyoNqmhbDTrNFMK7PEm8J0eS.jpg,"[18, 10770, 10751, 9648]",289225,en,Love Finds You In Sugarcreek,Will a mysterious stranger's past wreak havoc on a quiet Amish community after they've opened their doors -- and hearts -- to him and his son?,4.674,/8munjaSfqp561Dj98GHRLZdFscd.jpg,2014-06-01,Love Finds You In Sugarcreek,False,6.2,44
False,/23iAtUYR3e6GQS2wjO3u6N9WroT.jpg,"[53, 80, 10770]",373526,en,A Mother Betrayed,"Newlywed Monica is committed to a mental hospital for hallucinations, but soon finds out that her husband has a devious plan to steal her life, including her daughter.",2.4,/u31gTcLUmEhZj9ER2c6U2VkplqQ.jpg,2015-11-15,A Mother Betrayed,False,6.2,8
False,,"[18, 53, 10770]",341749,en,Run for Your Life,"Journalist Meredith Redmond is a battered Canadian woman who flees Canada to escape her abusive husband, Robert. She settles in Seattle, but her now-remarried ex-husband eventually finds her. To protect her two children, she must choose between killing him herself, hiring someone to kill him, or disappearing with her children and assuming new identities. Based on a true story.",5.505,/7XMT6WSnNKo52ZACBL3nPqwntTw.jpg,2014-10-04,Run for Your Life,False,6.2,13
False,/fFoTITjNyi9rnLrD3ayHDktbHCa.jpg,"[18, 9648, 53, 10770]",316128,en,Damaged,An English teacher's life turns upside-down once a new student moves in across the street.,3.634,/aLmJltLTPoCojPEbndE7imOMkEn.jpg,2015-01-03,Damaged,False,5.2,18
False,/2ECnLP3MxaHH0omb3XimsLTPXoa.jpg,"[80, 9648, 10770]",313040,en,A Christmas Mystery,"While searching through her late mothers attic, Rebecca uncovers sealed cards from a mysterious suitor that had been addressed to her widowed Mom over the past 12 Christmases. As she begins to wonder the identity of man, Rebecca hires a handsome, yet mysterious, detective to help solve the mystery behind the letters.",2.699,/4GgMfd9wAbnqCSVnT13uFYyFcYJ.jpg,2014-11-30,A Christmas Mystery,False,5.6,12
False,,"[10770, 35]",304417,de,Warum ich meinen Boss entführte,"Anna is a young working mom, with baby twins. Her boss who doesn't understand the situation fires her just before losing his memory in an accident. Anna then decides to teach him a lesson and switch places with him.",3.248,/ntaPJcFzjmvMLEG3CjU1gjbRP9i.jpg,2014-11-14,Why I Kidnapped My Boss,False,6.9,22
False,/yl7tyDuk1f6yeROYTMl70cztQva.jpg,"[99, 10770]",377380,en,From Rocky to Creed: The Legacy Continues,"In this one-hour documentary event narrated by Michael B Jordan, Sylvester Stallone, the filmmakers and past cast members share Rockys Cinderella story from the Oscar®-winning first film to the critically and commercially successful sixth film, Rocky Balboa. Then, together with director Ryan Coogler, stars Michael B Jordan, Sylvester Stallone, Tessa Thompson, and producer Irwin Winkler, viewers get an inside look at how Warner Bros Pictures and Metro-Goldwyn-Mayer Pictures new film Creed (story by Ryan Coogler, screenplay by Ryan Coogler & Aaron Covington) was originated, and how Jordan and Stallone prepared for their roles in this fresh new take on the Rocky franchise.",4.256,/9UkITjHB63x9Gxp4HGJdBXTQaEJ.jpg,2015-11-18,From Rocky to Creed: The Legacy Continues,False,7.0,14
False,/dnINDbaJEO1vvgz7QDO0bBA3w0B.jpg,"[10770, 12, 35, 10751]",348150,en,Jim Henson's Turkey Hollow,"While visiting their kooky aunt, two siblings go hunting for a Bigfoot-like creature called the Howling Hoodoo, encountering other monsters in the woods they didn’t even know they were looking for.",2.566,/7ldZ8BAwA803Ng5sF4GPLY6EO3B.jpg,2015-11-21,Jim Henson's Turkey Hollow,False,5.4,16
False,/gzcTwlBWMjY0JCSKIJh4pzJhNDQ.jpg,"[35, 10770]",358876,en,Christmas In Palm Springs,Jessica has a big presentation in Palm Springs. There are a couple of problems though: her two kids who will do anything to get mom and dad back together again - even if they have to hack mom's phone or pose as a secretary to make sure dad's in Palm Springs too. And father Joe who'll do anything to charm his way back into Jessica's life.,2.306,/kaCk7Xwg9m8BiLBf24KziUAp2Kj.jpg,2014-11-23,Christmas In Palm Springs,False,5.2,14
False,/5DmqkFXxoYtcnIuiZ86PPvwZiv1.jpg,"[12, 18, 14, 10770]",361661,ja,あの日見た花の名前を僕達はまだ知らない。,"Friends grow apart after a tragic accident claims one of their number. Years later, the dead girl appears to them to ask for their help in crossing over to the afterlife.",5.295,/7WnICfzyYOKcdkbuCJKZcwi8HED.jpg,2015-09-21,AnoHana: The Flower We Saw That Day,False,7.261,23
False,,[10770],320247,en,Down Dog,"A handsome, carefree yoga instructor has breezed through life, women, and jobs, but when he breaks up with his girlfriend -- who's also his partner at their successful yoga studio -- he's forced to face reality for the first time. A satirical look at LA's yoga culture.",2.257,/5cHXhx3wvWkmU2AvDQn6IpEeyEn.jpg,2015-01-15,Down Dog,False,4.75,4
False,/9TEdGKEyzKck1AoIpDpJBvqq5EZ.jpg,"[10770, 28, 80, 18]",332759,de,Einstein,Highly intelligent professor helps solving crimes.,2.744,/pIisU4TEhVEiQmIBpDwCnJv8lrQ.jpg,2015-03-26,Einstein,False,6.8,6
False,/q7puSFAJfEtdPJKQSLMaj3TQEoh.jpg,"[10770, 35, 10749]",317120,en,Cloudy with a Chance of Love,"Quirky meteorologist Deb spends most of her time finishing the passionate pursuit of her meteorology Ph.D. The wind of change starts blowing, however, when a handsome news director recruits her to fill in as an on-air weather personality.",2.231,/6hSLIyPZchm7YQzN2xNlvXzoYto.jpg,2015-02-14,Cloudy with a Chance of Love,False,6.0,29
False,/92O79wBmRTFRWik4c20hQfJp1GX.jpg,"[18, 10770, 53]",363974,de,Unterm Radar,"German judge Elke Seeberg's orderly world turns upside-down when a terrorist bomb explodes in a Berlin bus and the federal police come bursting through her door: Allegedly her teenage daughter played a part in the attack and is now on the run. What follows is a Kafkaesque nightmare of illegal round-the-clock surveillance by the Secret Service, public denunciation, and the collapse of her career. But when Federal Agent Buch helps her put together some pieces of the puzzle on her own, the fear of terrorists quickly gives way to the paranoia against an all-powerful state encroaching on all her rights.",2.228,/7AWSoibwZgbzWlB5m2IRT27nISj.jpg,2015-10-14,Unterm Radar,False,6.0,17
False,/mYqpmlPnFYFJVIh33k3QwURU8rJ.jpg,"[10770, 53]",364281,en,Stolen Dreams,"Laura Paddington is overcome with joy when her daughter, Zoe, returns to her after being abducted 17 years before--but is Zoe really her long lost child?",2.539,/bRCiqz6CvJH9DrZLjC1ebO92Ay2.jpg,2015-10-17,Stolen Dreams,False,5.7,16
False,/jS6cuNFxZyS4mCJRyrtR0vPFOed.jpg,"[10749, 10770]",366631,en,On the Twelfth Day of Christmas,Maggie Chalke is torn between her journalistic integrity and helping her long time crush Mitch O'Grady when her boss orders her to write a story for the paper about the Secret Santa gifts she's been sending Mitch to help him relearn his love for Christmas.,3.441,/cXRhRMJ0PrlU0vfchjmcKS1uypx.jpg,2015-12-12,On the Twelfth Day of Christmas,False,6.349,63
False,/abA7rOJ8xtPepcmrEu8AUNFWFQj.jpg,"[9648, 80, 14, 10770, 53]",316015,en,My Life as a Dead Girl,"When runaway teenager Chelsea is mistakenly killed by her friend Brittany's pimp, Brittany returns to what remains of the family Chelsea left years ago. Brittany's doing her best to get by under her assumed identity, until the truth begins to emerge. Then the vengeful pimp shows up.",4.578,/2ItbR57p5ohG6LaHlR652Vh8A9M.jpg,2015-01-01,My Life as a Dead Girl,False,6.8,26
False,,"[53, 10770]",361883,en,Tailor Made Murder,Famous crime writer Randy Williams spends the night with a gorgeous stranger he just met at his latest book signing. Back home he found his wife murdered and is soon suspected as his attractive date has now vanished.,3.827,/wi99K6mBTBh6DYqN8Yjs5pxMbEM.jpg,2012-03-21,Tailor Made Murder,False,8.0,1
False,/tu9QhZY43ZbAiESyhg4RSabhLNc.jpg,"[10770, 10402, 99]",371219,en,Meat Loaf: In and Out of Hell,"Documentary featuring an intimate profile of American rock legend Meat Loaf, spanning from his childhood of domestic violence, through a decade of rejection by record companies to global fame, bust-ups and a major comeback.",4.411,/eHUZd2oBYVHwhDw1uWA2FnTFNhb.jpg,2015-01-09,Meat Loaf: In and Out of Hell,False,9.0,4
